%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695938625290678186,126,220345000000000,GPS1_Frame,42.33941650390625,-71.0909423828125,24.600000381469727,327752.84375,4689579.5,19,T
1695938626290290552,127,220346000000000,GPS1_Frame,42.33940887451172,-71.09095764160156,24.799999237060547,327751.59375,4689579.0,19,T
1695938627290180131,128,220347000000000,GPS1_Frame,42.33940505981445,-71.09097290039062,25.0,327750.34375,4689578.5,19,T
1695938628310383420,129,220348000000000,GPS1_Frame,42.33940505981445,-71.09098815917969,25.0,327748.96875,4689578.5,19,T
1695938629291200840,130,220349000000000,GPS1_Frame,42.33940505981445,-71.09100341796875,25.0,327747.875,4689579.0,19,T
1695938630290497443,131,220350000000000,GPS1_Frame,42.33940887451172,-71.09101867675781,25.0,327746.65625,4689579.0,19,T
1695938631309171373,132,220351000000000,GPS1_Frame,42.33940887451172,-71.09103393554688,24.899999618530273,327745.40625,4689579.0,19,T
1695938632310234905,133,220352000000000,GPS1_Frame,42.33940887451172,-71.09104919433594,25.0,327744.1875,4689579.0,19,T
1695938633310309572,134,220353000000000,GPS1_Frame,42.33940887451172,-71.09105682373047,25.0,327743.09375,4689579.0,19,T
1695938634290998321,135,220354000000000,GPS1_Frame,42.33940887451172,-71.09107208251953,25.0,327741.84375,4689579.0,19,T
1695938635290070414,136,220355000000000,GPS1_Frame,42.33940505981445,-71.0910873413086,25.0,327740.59375,4689579.0,19,T
1695938636290592114,137,220356000000000,GPS1_Frame,42.33940505981445,-71.09111022949219,25.0,327739.21875,4689579.0,19,T
1695938637290640295,138,220357000000000,GPS1_Frame,42.33940505981445,-71.09111785888672,25.100000381469727,327738.0,4689579.0,19,T
1695938638289555027,139,220358000000000,GPS1_Frame,42.33940505981445,-71.09113311767578,25.200000762939453,327736.75,4689579.0,19,T
1695938639309885185,140,220359000000000,GPS1_Frame,42.33940505981445,-71.09115600585938,25.399999618530273,327735.375,4689579.0,19,T
1695938640291682198,141,220400000000000,GPS1_Frame,42.33940505981445,-71.09117126464844,25.399999618530273,327734.15625,4689578.5,19,T
1695938641311606777,142,220401000000000,GPS1_Frame,42.33939743041992,-71.0911865234375,25.399999618530273,327732.75,4689578.0,19,T
1695938642309524531,143,220402000000000,GPS1_Frame,42.33938980102539,-71.09120178222656,25.5,327731.375,4689577.5,19,T
1695938643290587501,144,220403000000000,GPS1_Frame,42.339385986328125,-71.09121704101562,25.5,327730.125,4689577.0,19,T
1695938644311296637,145,220404000000000,GPS1_Frame,42.33937072753906,-71.09123229980469,25.299999237060547,327728.6875,4689575.0,19,T
1695938645309882388,146,220405000000000,GPS1_Frame,42.33934783935547,-71.09124755859375,25.0,327727.40625,4689573.0,19,T
1695938646309396030,147,220406000000000,GPS1_Frame,42.33932876586914,-71.09126281738281,24.700000762939453,327726.125,4689571.0,19,T
1695938647310214934,148,220407000000000,GPS1_Frame,42.33931350708008,-71.09127807617188,24.5,327724.84375,4689569.0,19,T
1695938648292532603,149,220408000000000,GPS1_Frame,42.33930206298828,-71.09129333496094,24.399999618530273,327723.5625,4689568.0,19,T
